Area,SalePrice,Zoning,LotArea,Neighborhood,OverallQuality,OverallCondition,YearBuilt,YearRemodAdd,ExteriorQuality,ExteriorCondition,FullBath,HalfBath,Bedrooms,KitchenQuality,TotalRooms,MonthSold,YearSold
1656,215000,RL,31770,Northwest Ames,6,5,1960,1960,3,3,1,0,3,3,7,5,2010
896,105000,RH,11622,Northwest Ames,5,6,1961,1961,3,3,1,0,2,3,5,6,2010
1329,172000,RL,14267,Northwest Ames,6,6,1958,1958,3,3,1,1,3,4,6,6,2010
2110,244000,RL,11160,Northwest Ames,7,5,1968,1968,4,3,2,1,3,5,8,4,2010
1004,149000,RL,11241,Northwest Ames,6,7,1970,1970,3,3,1,0,2,3,5,3,2010
1078,149900,RL,12537,Northwest Ames,5,6,1971,2008,3,3,1,1,3,3,6,4,2010
1056,142000,RL,8450,Northwest Ames,5,6,1968,1968,3,3,1,0,3,3,6,7,2010
882,126000,RL,8400,Northwest Ames,4,5,1970,1970,3,3,1,0,2,3,4,4,2010
864,115000,RL,10500,Northwest Ames,4,5,1971,1971,3,3,1,0,3,3,5,4,2010
1337,184000,RH,5858,Northwest Ames,7,5,1999,1999,4,3,2,0,2,4,5,6,2010
987,96000,RM,1680,Briardale,6,5,1971,1971,3,3,1,1,2,3,5,2,2010
1629,189900,RL,13830,Gilbert,5,5,1997,1998,3,3,2,1,3,3,6,3,2010
1604,195500,RL,9978,Gilbert,6,6,1998,1998,3,3,2,1,3,4,7,6,2010
1804,189000,RL,7500,Gilbert,7,5,1999,1999,3,3,2,1,3,4,7,6,2010
1655,175900,RL,10000,Gilbert,6,5,1993,1994,3,3,2,1,3,3,7,4,2010
1187,185000,RL,7980,Gilbert,6,7,1992,2007,3,4,2,0,3,3,6,3,2010
1465,180400,RL,8402,Gilbert,6,5,1998,1998,3,3,2,1,3,3,7,5,2010
1341,171500,RL,10176,Gilbert,7,5,1990,1990,3,3,1,1,2,4,5,2,2010
1752,164000,RL,12134,Gilbert,8,7,1988,2005,4,3,2,0,4,3,8,6,2010
864,141000,RL,19138,Gilbert,4,5,1951,1951,3,3,1,0,2,3,4,6,2010
1338,213500,RL,4920,Stone Brook,8,5,2001,2001,4,3,2,0,2,4,6,4,2010
1280,191500,RL,5005,Stone Brook,8,5,1992,1992,4,3,2,0,2,4,5,1,2010
1616,236500,RL,5389,Stone Brook,8,5,1995,1996,4,3,2,0,2,4,5,3,2010
1502,212000,RL,6820,Stone Brook,8,5,1985,1985,4,3,1,1,1,4,4,6,2010
3279,538000,RL,53504,Stone Brook,8,5,2003,2003,5,3,3,1,4,5,12,6,2010
1856,394432,RL,11394,Stone Brook,9,2,2010,2010,4,3,1,1,1,5,8,6,2010
2073,210000,RL,13175,Northwest Ames,6,6,1978,1988,3,3,2,0,3,3,7,2,2010
1844,190000,RL,11751,Northwest Ames,6,6,1977,1977,3,3,2,0,3,3,7,1,2010
1173,170000,RL,10625,Northwest Ames,7,6,1974,1974,3,3,2,0,3,4,6,1,2010
1092,105500,RM,1680,Briardale,5,5,1971,1971,3,3,1,1,3,3,6,3,2010
1092,88000,RM,1680,Briardale,6,5,1971,1971,3,3,1,1,3,3,6,3,2010
1069,127500,RL,4043,Northpark Villa,6,5,1977,1977,3,3,2,0,2,3,4,7,2010
1456,149900,RL,2280,Northpark Villa,6,6,1975,1975,3,3,2,1,3,4,6,6,2010
836,120000,RL,2280,Northpark Villa,7,6,1975,1975,3,3,1,0,2,3,4,6,2010
1456,146000,RL,2280,Northpark Villa,6,5,1978,1978,3,3,2,1,3,3,7,7,2010
2334,376162,RL,12858,Northridge Heights,9,5,2009,2010,5,3,2,1,3,5,10,1,2010
1704,306000,RL,11478,Northridge Heights,8,5,2007,2008,4,3,2,0,3,4,7,5,2010
1940,395192,RL,10159,Northridge Heights,9,5,2009,2010,5,3,2,1,3,5,8,4,2010
1544,290941,RL,12883,Northridge Heights,8,5,2009,2010,4,3,2,0,3,4,7,6,2010
1541,220000,RL,12182,Northridge Heights,7,5,2005,2005,4,3,2,0,3,4,7,5,2010
1698,275000,RL,11520,Northridge Heights,9,5,2005,2005,4,3,2,0,3,5,7,6,2010
1822,259000,RL,14122,Northridge Heights,8,5,2005,2006,4,3,2,0,3,5,8,2,2010
1535,214000,RL,10171,Northridge Heights,7,5,2004,2004,4,3,2,0,3,4,7,3,2010
2364,611657,RL,12919,Northridge Heights,9,5,2009,2010,5,3,2,1,2,5,11,3,2010
1358,224000,RL,6371,Northridge Heights,7,5,2009,2010,4,3,2,0,2,4,6,6,2010
2696,500000,RL,14300,Northridge Heights,9,5,2003,2004,5,3,2,1,3,5,10,6,2010
2250,320000,RL,13650,Northridge Heights,8,5,2002,2002,4,3,2,1,3,4,7,6,2010
1752,319900,RL,7658,Northridge Heights,9,5,2005,2005,5,3,2,0,2,5,6,2,2010
1370,205000,RL,7132,Northridge Heights,8,5,2006,2006,4,3,2,0,2,4,6,4,2010
1626,175500,RL,2628,Northridge Heights,7,5,2003,2003,4,3,2,1,2,4,6,6,2010
1324,199500,RL,18494,Gilbert,6,5,2005,2005,4,3,2,0,3,4,6,1,2010
1145,160000,RL,3203,Bloomington Heights,7,5,2006,2006,4,3,2,0,2,4,6,1,2010
1269,192000,RL,3182,Bloomington Heights,8,5,2004,2005,4,3,2,0,2,4,6,4,2010
1374,184500,RL,13300,Gilbert,7,5,2004,2004,4,3,2,1,3,4,7,6,2010
1960,216500,RL,7851,Gilbert,6,5,2002,2002,4,3,2,1,4,4,8,5,2010
1733,185088,RL,8577,Gilbert,7,5,2004,2004,4,3,2,1,3,4,7,4,2010
1430,180000,RL,7750,Gilbert,7,5,2000,2000,3,3,2,1,3,3,7,4,2010
2035,222500,RL,9505,Gilbert,7,5,2001,2001,4,3,2,1,3,4,8,5,2010
2599,333168,RL,14774,Northridge,9,5,1999,1999,4,3,2,1,4,4,10,5,2010
2475,355000,RL,17433,Northridge,8,5,1998,1998,4,3,2,1,4,4,7,1,2010
1720,260400,RL,10593,Northridge,7,5,1996,1996,4,3,2,0,3,4,7,3,2010
2622,325000,RL,12256,Northridge,8,5,1994,1995,4,3,2,1,3,4,9,4,2010
2270,290000,RL,11764,Northridge,8,7,1999,2007,4,3,2,1,4,4,9,4,2010
1839,221000,RL,16770,Northridge,7,5,1998,1998,4,3,2,1,4,3,7,6,2010
3238,410000,RL,14720,Northridge,8,5,1995,1996,4,3,2,1,4,4,9,3,2010
1595,221500,RL,8987,Somerset,8,5,2005,2006,4,3,2,0,2,4,6,5,2010
2084,233000,RL,10142,Sawyer West,7,5,2004,2004,4,3,2,1,4,4,8,1,2010
1659,181000,RL,11920,Sawyer West,7,5,2004,2004,4,3,2,1,3,4,8,4,2010
2110,205000,RL,8880,Sawyer West,7,5,1994,2002,4,3,2,1,3,4,8,5,2010
923,143000,RL,8012,Sawyer West,6,5,1980,1980,3,3,2,0,2,3,5,5,2010
1845,189000,RL,11218,Sawyer West,6,5,1992,1992,4,3,2,1,3,4,8,5,2010
918,99500,RL,7892,Sawyer West,6,5,1979,1979,3,3,2,0,2,3,5,4,2010
752,125000,RL,7175,Sawyer West,6,5,1984,1984,3,3,1,0,2,3,4,2,2010
1744,194500,RL,9453,Sawyer West,7,7,1993,2003,4,3,2,1,3,4,7,2,2010
1097,152000,RL,9672,Sawyer West,6,5,1984,1985,3,3,2,0,3,3,6,5,2010
1564,171000,RL,8400,Sawyer West,6,6,1980,1981,3,3,2,1,3,3,7,4,2010
1012,67500,RH,9800,Sawyer West,5,5,1920,1950,3,2,1,0,2,3,5,4,2010
1902,112000,RM,8930,Sawyer,6,5,1978,1978,3,3,2,0,4,3,8,4,2010
